filename id form seg xpostag lem eng_translation org_tags_split processed_tags_split
P101808.conll o.3.1 1(disz) 1(disz)[one] NU 1(disz) one ['NU'] ['num']
P101808.conll o.3.2 udu udu[sheep] N udu sheep ['N'] ['n']
P101808.conll o.3.3 1/3(disz) 1/3(disz)[one] NU 3(disz) one ['NU'] ['num']
P101808.conll o.3.4 gin2 gig[unit] N gig unit ['N'] ['n']
P101808.conll o.3.5 1(u) 1(u)[ten] NU 1(u) ten ['NU'] ['num']
P101808.conll o.3.6 sze sze[unit] N sze unit ['N'] ['n']
P101808.conll o.3.7 {d}suen-... _[_] _ _ _ ['_'] ['_']
P457084.conll a.1.1 ur-ba-gara2 Urbagara[1] PN Urbagara Urbagara ['PN'] "['pn', 'np']"
P457084.conll a.2.1 dub-sar dubsar[scribe] N dubsar scribe ['N'] ['n']
P457084.conll a.3.1 dumu dumu[child] N dumu child ['N'] ['n']
P457084.conll a.3.2 ur-{d}... _[1][-ak] PN.GEN _ _ "['PN', 'GEN']" "['pn', 'gen', 'np']"
P454156.conll o.1.1 1(ban2) 1(ban)[unit] N 1(ban) unit ['N'] ['n']
P454156.conll o.1.2 3(disz) 3(disz)[one] NU 3(disz) one ['NU'] ['num']
P454156.conll o.1.3 sila3 sila[unit] N sila unit ['N'] ['n']
P454156.conll o.1.4 i3-nun inun[ghee] N inun ghee ['N'] ['n']
P454156.conll o.2.1 1(ban2) 1(ban)[unit] N 1(ban) unit ['N'] ['n']
P454156.conll o.2.2 6(disz) 6(disz)[one] NU 6(disz) one ['NU'] ['num']
P454156.conll o.2.3 sila3 sila[unit] N sila unit ['N'] ['n']
P454156.conll o.2.4 ga ga[milk] N ga milk ['N'] ['n']
P454156.conll o.2.5 gazi gazi[condiment][-ø] N.ABS gazi condiment "['N', 'ABS']" "['n', 'abs']"
P454156.conll o.3.1 ki ki[place] N ki place ['N'] ['n']
P454156.conll o.3.2 ur-mes-ta Urmes[1][-ak]-ta PN.GEN.ABS Urmes Urmes "['PN', 'GEN', 'ABS']" "['pn', 'gen', 'abs', 'np']"
P454156.conll o.4.1 ur-{d}dumu-zi Urdumuzi[1][-e] PN.ERG Urdumuzi Urdumuzi "['PN', 'ERG']" "['pn', 'erg', 'np']"
P454156.conll r.1.1 szu szu[hand][-e] N.L3-NH szu hand "['N', 'L3-NH']" "['n', 'l3-nh']"
P454156.conll r.1.2 ba-ti ba[-n]-teg[accept][-ø] MID.3-SG-H-A.V.3-SG-P -teg accept "['MID', '3-SG-H-A', 'V', '3-SG-P']" "['mid', '3-sg-h-a', 'vblex', '3-sg-p']"
P454156.conll r.2.1 iti iti[month] N iti month ['N'] ['n']
P454156.conll r.2.2 szu-gar-gal Szugargal[1][-'a] MN.L1 Szugargal Szugargal "['MN', 'L1']" "['mn', 'l1', 'np']"
P100257.conll o.1.1 1(disz) 1(disz)[one] NU 1(disz) one ['NU'] ['num']
P100257.conll o.1.2 udu udu[sheep] N udu sheep ['N'] ['n']
P100257.conll o.1.3 niga niga[fattened][-ø][-ø] NF.V.ABS.ABS niga fattened "['NF', 'V', 'ABS', 'ABS']" "['nf', 'vblex', 'abs', 'abs']"
P100257.conll o.1.4 ba-usz2 ba-usz[die][-ø] MID.V.3-SG-S ba-usz die "['MID', 'V', '3-SG-S']" "['mid', 'vblex', '3-sg-s']"
P100257.conll o.2.1 ki ki[place] N ki place ['N'] ['n']
P100257.conll o.2.2 an-na-hi-li-bi-ta Annahilibi[1][-ak]-ta PN.GEN.ABL Annahilibi Annahilibi "['PN', 'GEN', 'ABL']" "['pn', 'gen', 'abl', 'np']"
P100257.conll o.3.1 kiszib3 kiszib[seal] N kiszib seal ['N'] ['n']
P100257.conll o.3.2 lu2-kal-la Lukala[1][-ak] PN.GEN Lukala Lukala "['PN', 'GEN']" "['pn', 'gen', 'np']"
P100257.conll o.4.1 iti iti[month] N iti month ['N'] ['n']
P100257.conll o.4.2 pa4-u2-e Pa'u'e[1][-'a] MN.L1 Pa'u'e Pa'u'e "['MN', 'L1']" "['mn', 'l1', 'np']"
P100257.conll r.1.1 mu mu[year] N mu year ['N'] ['n']
P100257.conll r.1.2 en-unu6-gal Enunugal[1] PN Enunugal Enunugal ['PN'] "['pn', 'np']"
P100257.conll r.1.3 {d}inanna Inanna[1][-ak][-ø] DN.GEN.ABS Inanna Inanna "['DN', 'GEN', 'ABS']" "['dn', 'gen', 'abs', 'np']"
P100257.conll r.1.4 ba-hun ba-hug[hire][-ø] MID.V.3-SG-S ba-hug hire "['MID', 'V', '3-SG-S']" "['mid', 'vblex', '3-sg-s']"
P100257.conll s1.1.1 lu2-kal-la Lukala[1] PN Lukala Lukala ['PN'] "['pn', 'np']"
P100257.conll s1.2.1 dub-sar dubsar[scribe] N dubsar scribe ['N'] ['n']
P100257.conll s1.3.1 dumu dumu[child] N dumu child ['N'] ['n']
P100257.conll s1.3.2 ur-e11-e Ure'e[1] PN Ure'e Ure'e ['PN'] "['pn', 'np']"
P100257.conll s1.3.3 szusz3 kusz[cattle_manager][-ak] N.GEN kusz cattle_manager "['N', 'GEN']" "['n', 'gen']"
P121886.conll o.1.1 1(gesz'u) 1(gesz'u)[six_hundred] NU 1(gesz'u) six_hundred ['NU'] ['num']
P121886.conll o.1.2 sa sa[bundle] N sa bundle ['N'] ['n']
P121886.conll o.1.3 pa-ku5 pakud[stave] N pakud stave ['N'] ['n']
P121886.conll o.2.1 gu-nigin2-ba gunigin[bale]-bi-'a N.3-SG-NH-POSS.L1 gunigin bale "['N', '3-SG-NH-POSS', 'L1']" "['n', '3-sg-nh-poss', 'l1']"
P121886.conll o.2.2 3(disz) 3(disz)[one] NU 3(disz) one ['NU'] ['num']
P121886.conll o.2.3 sa-ta sa[bundle]-ta N.ABL sa bundle "['N', 'ABL']" "['n', 'abl']"
P121886.conll o.3.1 4(disz) 4(disz)[one] NU 4(disz) one ['NU'] ['num']
P121886.conll o.3.2 {gesz}dal dal[crossbar] N dal crossbar ['N'] ['n']
P121886.conll o.4.1 1(gesz'u) 1(gesz'u)[six_hundred] NU 1(gesz'u) six_hundred ['NU'] ['num']
P121886.conll o.4.2 5(gesz2) 5(gesz)[sixty] NU 5(gesz) sixty ['NU'] ['num']
P121886.conll o.4.3 2(u) 2(u)[ten] NU 2(u) ten ['NU'] ['num']
P121886.conll o.4.4 sa sa[bundle] N sa bundle ['N'] ['n']
P121886.conll o.4.5 ma-nu manu[wood_type] N manu wood_type ['N'] ['n']
P121886.conll o.5.1 gu-nigin2-ba gunigin[bale]-bi-'a N.3-SG-NH-POSS.L1 gunigin bale "['N', '3-SG-NH-POSS', 'L1']" "['n', '3-sg-nh-poss', 'l1']"
P121886.conll o.5.2 1(u) 1(u)[ten] NU 1(u) ten ['NU'] ['num']
P121886.conll o.5.3 2(disz) 2(disz)[one] NU 2(disz) one ['NU'] ['num']
P121886.conll o.5.4 sa-ta sa[bundle]-ta N.ABL sa bundle "['N', 'ABL']" "['n', 'abl']"
P121886.conll o.6.1 nig2-ba nigba[gift] N nigba gift ['N'] ['n']
P121886.conll o.6.2 lugal lugal[king][-ak][-ø] N.GEN.ABS lugal king "['N', 'GEN', 'ABS']" "['n', 'gen', 'abs']"
P121886.conll o.7.1 sig4-te-la2-ni Sigtelani[1][-e] PN.ERG Sigtelani Sigtelani "['PN', 'ERG']" "['pn', 'erg', 'np']"
P121886.conll o.7.2 szu szu[hand][-e] N.L3-NH szu hand "['N', 'L3-NH']" "['n', 'l3-nh']"
P121886.conll o.7.3 ba-ti ba[-n]-teg[accept][-ø] MID.3-SG-H-A.V.3-SG-P -teg accept "['MID', '3-SG-H-A', 'V', '3-SG-P']" "['mid', '3-sg-h-a', 'vblex', '3-sg-p']"
P121886.conll o.8.1 giri3 giri[foot] N giri foot ['N'] ['n']
P121886.conll o.8.2 szu-ma-ma Szumama[1] PN Szumama Szumama ['PN'] "['pn', 'np']"
P121886.conll o.8.3 lu2 lu[person] N lu person ['N'] ['n']
P121886.conll o.8.4 kin-gi4-a kiggia[messenger] N kiggia messenger ['N'] ['n']
P121886.conll o.8.5 lugal lugal[king][-ak][-ak] N.GEN.GEN lugal king "['N', 'GEN', 'GEN']" "['n', 'gen', 'gen']"
P121886.conll o.9.1 lu2-tur-tur Luturtur[1] PN Luturtur Luturtur ['PN'] "['pn', 'np']"
P121886.conll o.9.2 dub-sar dubsar[scribe][-ø] N.ABS dubsar scribe "['N', 'ABS']" "['n', 'abs']"
P121886.conll o.9.3 maszkim maszkim[administrator][-ø] N.ABS maszkim administrator "['N', 'ABS']" "['n', 'abs']"
P121886.conll r.1.1 3(u) 3(u)[ten] NU 3(u) ten ['NU'] ['num']
P121886.conll r.1.2 gu-nigin2-ba gunigin[bale]-bi-'a N.3-SG-NH-POSS.L1 gunigin bale "['N', '3-SG-NH-POSS', 'L1']" "['n', '3-sg-nh-poss', 'l1']"
P121886.conll r.1.3 pa-ku5 pakud[stave][-ø] N.ABS pakud stave "['N', 'ABS']" "['n', 'abs']"
P121886.conll r.2.1 ur-{d}nin-lil2-la2 Urninlila[1] PN Urninlila Urninlila ['PN'] "['pn', 'np']"
P121886.conll r.3.1 sukkal sukkal[secretary][-ra] N.DAT-H sukkal secretary "['N', 'DAT-H']" "['n', 'dat-h']"
P121886.conll r.3.2 lu2-dingir-ra Ludingira[1][-e] PN.ERG Ludingira Ludingira "['PN', 'ERG']" "['pn', 'erg', 'np']"
P121886.conll r.3.3 szu szu[hand][-e] N.L3-NH szu hand "['N', 'L3-NH']" "['n', 'l3-nh']"
P121886.conll r.3.4 ba-ti ba[-n]-teg[accept][-ø] MID.3-SG-H-A.V.3-SG-P -teg accept "['MID', '3-SG-H-A', 'V', '3-SG-P']" "['mid', '3-sg-h-a', 'vblex', '3-sg-p']"
P121886.conll r.4.1 lu2 lu[person] N lu person ['N'] ['n']
P121886.conll r.4.2 ARAD2 Arad[1][-ak][-ø] PN.GEN.ABS Arad Arad "['PN', 'GEN', 'ABS']" "['pn', 'gen', 'abs', 'np']"
P121886.conll r.4.3 ka(SAG)-guru7 kaguruk[granary_supervisor][-ø] N.ABS kaguruk granary_supervisor "['N', 'ABS']" "['n', 'abs']"
P121886.conll r.6.1 ki ki[place] N ki place ['N'] ['n']
P121886.conll r.6.2 ur-sila-luh-ta Ursilaluh[1][-ak]-ta PN.GEN.ABL Ursilaluh Ursilaluh "['PN', 'GEN', 'ABL']" "['pn', 'gen', 'abl', 'np']"
P121886.conll r.7.1 kiszib3 kiszib[seal] N kiszib seal ['N'] ['n']
P121886.conll r.7.2 ensi2-ka ensik[ruler]-ak N.GEN ensik ruler "['N', 'GEN']" "['n', 'gen']"
P121886.conll r.8.1 mu mu[year] N mu year ['N'] ['n']
P121886.conll r.8.2 {d}amar-{d}suen Amarsuen[1][-ø] RN.ABS Amarsuen Amarsuen "['RN', 'ABS']" "['rn', 'abs', 'np']"
P121886.conll r.8.3 lugal lugal[king][-ø] N.ABS lugal king "['N', 'ABS']" "['n', 'abs']"
P121886.conll s1.col1.1.1 {d}szul-gi Szulgir[1] RN Szulgir Szulgir ['RN'] "['rn', 'np']"
P121886.conll s1.col1.2.1 nita nita[male] N nita male ['N'] ['n']
P121886.conll s1.col1.2.2 kal-ga kalag[strong]-a NF.V.PT kalag strong "['NF', 'V', 'PT']" "['nf', 'vblex', 'pt']"
P121886.conll s1.col1.3.1 lugal lugal[king] N lugal king ['N'] ['n']
P121886.conll s1.col1.3.2 uri5{ki}-ma Urim[1]-ak SN.GEN Urim Urim "['SN', 'GEN']" "['sn', 'gen', 'np']"
P121886.conll s1.col1.4.1 lugal lugal[king] N lugal king ['N'] ['n']
P121886.conll s1.col1.4.2 an-ub-da anubda[quarter] N anubda quarter ['N'] ['n']
P121886.conll s1.col1.4.3 limmu2-ba limmu[four]-bi-ak[-ø] NU.3-SG-NH-POSS.GEN.ABS limmu four "['NU', '3-SG-NH-POSS', 'GEN', 'ABS']" "['num', '3-sg-nh-poss', 'gen', 'abs']"
P121886.conll s1.col2.1.1 ur-{d}li9-si4 Urlisi[1] PN Urlisi Urlisi ['PN'] "['pn', 'np']"
P121886.conll s1.col2.2.1 ensi2 ensik[ruler] N ensik ruler ['N'] ['n']
P121886.conll s1.col2.3.1 umma{ki} Umma[1][-ak][-ø] SN.GEN.ABS Umma Umma "['SN', 'GEN', 'ABS']" "['sn', 'gen', 'abs', 'np']"
P121886.conll s1.col2.4.1 ARAD2-zu arad[slave]-zu[-ø] N.2-SG-POSS.ABS arad slave "['N', '2-SG-POSS', 'ABS']" "['n', '2-sg-poss', 'abs']"
P102220.conll o.1.1 x _[_] _ _ _ ['_'] ['_']
P102220.conll o.1.2 sze sze[unit] N sze unit ['N'] ['n']
P102220.conll o.1.3 ... _[_] _ _ _ ['_'] ['_']
P102220.conll o.2.1 la2-ia3-ta la'u[arrears]-ta N.ABL la'u arrears "['N', 'ABL']" "['n', 'abl']"
P102220.conll o.2.2 su-ga sug[repay]-a NF.V.PT sug repay "['NF', 'V', 'PT']" "['nf', 'vblex', 'pt']"
P102220.conll o.3.1 ISZ-su{ki} Iszsu[1] SN Iszsu Iszsu ['SN'] "['sn', 'np']"
P102220.conll o.3.2 ... _[_] _ _ _ ['_'] ['_']
P102220.conll o.4.1 ki ki[place] N ki place ['N'] ['n']
P102220.conll o.4.2 lu2-sa6-i3-zu-ta Lusa'izu[1][-ak]-ta PN.GEN.ABL Lusa'izu Lusa'izu "['PN', 'GEN', 'ABL']" "['pn', 'gen', 'abl', 'np']"
P102220.conll o.5.1 ...-x-ni _[1][-e] PN.ERG _ _ "['PN', 'ERG']" "['pn', 'erg', 'np']"
P102220.conll r.1.1 szu szu[hand][-e] N.L3-NH szu hand "['N', 'L3-NH']" "['n', 'l3-nh']"
P102220.conll r.1.2 ba-ti ba[-n]-teg[accept][-ø] MID.3-SG-H-A.V.3-SG-P -teg accept "['MID', '3-SG-H-A', 'V', '3-SG-P']" "['mid', '3-sg-h-a', 'vblex', '3-sg-p']"
P102220.conll r.2.1 iti iti[month] N iti month ['N'] ['n']
P102220.conll r.2.2 dal Dal[1][-'a] MN.L1 Dal Dal "['MN', 'L1']" "['mn', 'l1', 'np']"
P102220.conll r.3.1 mu mu[year] N mu year ['N'] ['n']
P102220.conll r.3.2 us2-sa us[follow]-a NF.V.PT us follow "['NF', 'V', 'PT']" "['nf', 'vblex', 'pt']"
P102220.conll r.3.3 bad3 bad[wall] N bad wall ['N'] ['n']
P102220.conll r.3.4 ba-du3 ba-du[build][-ø] MID.V.3-SG-S ba-du build "['MID', 'V', '3-SG-S']" "['mid', 'vblex', '3-sg-s']"
P456159.conll a.1.1 lugal-ezem Lugalezem[1] PN Lugalezem Lugalezem ['PN'] "['pn', 'np']"
P456159.conll a.2.1 dub-sar dubsar[scribe] N dubsar scribe ['N'] ['n']
P456159.conll a.3.1 dumu dumu[child] N dumu child ['N'] ['n']
P456159.conll a.3.2 ur-kun Urkun[1][-ak] PN.GEN Urkun Urkun "['PN', 'GEN']" "['pn', 'gen', 'np']"
P133620.conll o.1.1 di did[lawsuit] N did lawsuit ['N'] ['n']
P133620.conll o.1.2 til-la til[complete]-a NF.V.PT til complete "['NF', 'V', 'PT']" "['nf', 'vblex', 'pt']"
P133620.conll o.2.1 1(disz) 1(disz)[one] NU 1(disz) one ['NU'] ['num']
P133620.conll o.2.2 geme2-{d}ig-alim Geme'igalim[1] PN Geme'igalim Geme'igalim ['PN'] "['pn', 'np']"
P133620.conll o.2.3 dumu dumu[child] N dumu child ['N'] ['n']
P133620.conll o.2.4 nam-mah Nammah[1][-ak][-'a] PN.GEN.L2-NH Nammah Nammah "['PN', 'GEN', 'L2-NH']" "['pn', 'gen', 'l2-nh', 'np']"
P133620.conll o.2.5 SIG7-a-ra Sigara[1] PN Sigara Sigara ['PN'] "['pn', 'np']"
P133620.conll o.3.1 mar-tu Martu[1] EN Martu Martu ['EN'] "['en', 'np']"
P133620.conll o.3.2 dumu dumu[child] N dumu child ['N'] ['n']
P133620.conll o.3.3 lu2-nigin6{ki}-ke4 Lunigin[1]-ak-e PN.GEN.ERG Lunigin Lunigin "['PN', 'GEN', 'ERG']" "['pn', 'gen', 'erg', 'np']"
P133620.conll o.4.1 inim inim[word][-ø] N.ABS inim word "['N', 'ABS']" "['n', 'abs']"
P133620.conll o.4.2 in-ni-gar-ra i-nn-i-n-gar[claim][-ø]-a FIN.3-SG-H.L2.3-SG-H-A.V.3-SG-P.SUB i-nn-i-n-gar claim "['FIN', '3-SG-H', 'L2', '3-SG-H-A', 'V', '3-SG-P', 'SUB']" "['fin', '3-sg-h', 'l2', '3-sg-h-a', 'vblex', '3-sg-p', 'sub']"
P133620.conll o.5.1 geme2-mu geme[female_worker]-gu[-ø] N.1-SG-POSS.ABS geme female_worker "['N', '1-SG-POSS', 'ABS']" "['n', '1-sg-poss', 'abs']"
P133620.conll o.5.2 ni ni[self][-ø] N.ABS ni self "['N', 'ABS']" "['n', 'abs']"
P133620.conll o.5.3 i3-me-a i-me[be][-ø]-a FIN.V.3-SG-S.SUB i-me be "['FIN', 'V', '3-SG-S', 'SUB']" "['fin', 'vblex', '3-sg-s', 'sub']"
P133620.conll o.6.1 i3-bi2-za-asz ibiza[financial_loss]-sze N.TERM ibiza financial_loss "['N', 'TERM']" "['n', 'term']"
P133620.conll o.6.2 e2-gal-e egal[palace]-e N.DAT-NH egal palace "['N', 'DAT-NH']" "['n', 'dat-nh']"
P133620.conll o.6.3 ma-ab-szum2-ma mu-a-b-szum[give][-e][-a] VEN.DAT.3-SG-NH-P.V.3-SG-A.SUB mu-a-b-szum give "['VEN', 'DAT', '3-SG-NH-P', 'V', '3-SG-A', 'SUB']" "['ven', 'dat', '3-sg-nh-p', 'vblex', '3-sg-a', 'sub']"
P133620.conll o.7.1 gu3-de2-a Gude'a[1] PN Gude'a Gude'a ['PN'] "['pn', 'np']"
P133620.conll o.7.2 ab-ba-iri abba'iri[city_elder] N abba'iri city_elder ['N'] ['n']
P133620.conll o.8.1 lu2-gir2-su{ki} Lugirsu[1] PN Lugirsu Lugirsu ['PN'] "['pn', 'np']"
P133620.conll o.9.1 ur-x-da _[1] PN _ _ ['PN'] "['pn', 'np']"
P133620.conll o.9.2 ugula ugula[overseer] N ugula overseer ['N'] ['n']
P133620.conll o.9.3 kas4 kas[runner][-ak][-ø] N.GEN.ABS kas runner "['N', 'GEN', 'ABS']" "['n', 'gen', 'abs']"
P133620.conll o.10.1 maszkim-bi-me maszkim[administrator]-bi[-ø]-mesz[-a][-ø] N.3-SG-NH-POSS.ABS.COP-3-PL.SUB.ABS maszkim administrator "['N', '3-SG-NH-POSS', 'ABS', 'COP-3-PL', 'SUB', 'ABS']" "['n', '3-sg-nh-poss', 'abs', 'cop-3-pl', 'sub', 'abs']"
P133620.conll o.10.2 bi2-in-du11 b-i-n-dug[speak][-ø] 3-SG-NH.L3.3-SG-H-A.V.3-SG-P b-i-n-dug speak "['3-SG-NH', 'L3', '3-SG-H-A', 'V', '3-SG-P']" "['3-sg-nh', 'l3', '3-sg-h-a', 'vblex', '3-sg-p']"
P133620.conll o.11.1 en3 en[word][-ø] N.ABS en word "['N', 'ABS']" "['n', 'abs']"
P133620.conll o.11.2 ba-ne-tar-ra ba-nne-tar[ask][-ø]-a MID.3-PL-DAT.V.3-SG-S.SUB ba-nne-tar ask "['MID', '3-PL-DAT', 'V', '3-SG-S', 'SUB']" "['mid', '3-pl-dat', 'vblex', '3-sg-s', 'sub']"
P133620.conll o.12.1 mu mu[name] N mu name ['N'] ['n']
P133620.conll o.12.2 inim-bi inim[matter]-bi[-ø] N.3-SG-NH-POSS.ABS inim matter "['N', '3-SG-NH-POSS', 'ABS']" "['n', '3-sg-nh-poss', 'abs']"
P133620.conll o.12.3 nu-u3-zu nu-i[-n]-zu[know][-esz][-a][-ø] NEG.FIN.3-SG-H-A.V.3-PL.SUB.ABS -zu know "['NEG', 'FIN', '3-SG-H-A', 'V', '3-PL', 'SUB', 'ABS']" "['neg', 'fin', '3-sg-h-a', 'vblex', '3-pl', 'sub', 'abs']"
P133620.conll o.12.4 bi2-in-ne2-sza-sze3 bi-i-n-e[speak]-esz-a[-ak]-sze 3-SG-NH.L2.3-SG-H-A.V.PL.3-PL.SUB.GEN.TERM bi-i-n-e speak "['3-SG-NH', 'L2', '3-SG-H-A', 'V', 'PL', '3-PL', 'SUB', 'GEN', 'TERM']" "['3-sg-nh', 'l2', '3-sg-h-a', 'vblex', 'pl', '3-pl', 'sub', 'gen', 'term']"
